2010-07-14-16:52:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:52:00.000-06:00I----- pdweb.http avg-webseal	 : 12.455
2010-07-14-16:52:00.000-06:00I----- pdweb.http total-webseal	 : 5:23.847
2010-07-14-16:53:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:53:00.000-06:00I----- pdweb.http reqs	 : 38
2010-07-14-16:53:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:53:00.000-06:00I----- pdweb.http avg-worker	 : 8.528
2010-07-14-16:53:00.000-06:00I----- pdweb.http total-worker	 : 5:24.084
2010-07-14-16:53:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:53:00.000-06:00I----- pdweb.http avg-webseal	 : 8.528
2010-07-14-16:53:00.000-06:00I----- pdweb.http total-webseal	 : 5:24.073
2010-07-14-16:54:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:54:00.000-06:00I----- pdweb.http reqs	 : 82
2010-07-14-16:54:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:54:00.000-06:00I----- pdweb.http avg-worker	 : 3.961
2010-07-14-16:54:00.000-06:00I----- pdweb.http total-worker	 : 5:24.878
2010-07-14-16:54:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:54:00.000-06:00I----- pdweb.http avg-webseal	 : 3.961
2010-07-14-16:54:00.000-06:00I----- pdweb.http total-webseal	 : 5:24.866
2010-07-14-16:55:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:55:00.000-06:00I----- pdweb.http reqs	 : 116
2010-07-14-16:55:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:55:00.000-06:00I----- pdweb.http avg-worker	 : 2.806
2010-07-14-16:55:00.000-06:00I----- pdweb.http total-worker	 : 5:25.517
2010-07-14-16:55:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:55:00.000-06:00I----- pdweb.http avg-webseal	 : 2.806
2010-07-14-16:55:00.000-06:00I----- pdweb.http total-webseal	 : 5:25.502
2010-07-14-16:56:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:56:00.000-06:00I----- pdweb.http reqs	 : 130
2010-07-14-16:56:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:56:00.000-06:00I----- pdweb.http avg-worker	 : 2.505
2010-07-14-16:56:00.000-06:00I----- pdweb.http total-worker	 : 5:25.767
2010-07-14-16:56:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:56:00.000-06:00I----- pdweb.http avg-webseal	 : 2.505
2010-07-14-16:56:00.000-06:00I----- pdweb.http total-webseal	 : 5:25.752
2010-07-14-16:57:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:57:00.000-06:00I----- pdweb.http reqs	 : 172
2010-07-14-16:57:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:57:00.000-06:00I----- pdweb.http avg-worker	 : 1.898
2010-07-14-16:57:00.000-06:00I----- pdweb.http total-worker	 : 5:26.561
2010-07-14-16:57:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:57:00.000-06:00I----- pdweb.http avg-webseal	 : 1.898
2010-07-14-16:57:00.000-06:00I----- pdweb.http total-webseal	 : 5:26.543
2010-07-14-16:58:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:58:00.000-06:00I----- pdweb.http reqs	 : 220
2010-07-14-16:58:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:58:00.000-06:00I----- pdweb.http avg-worker	 : 1.502
2010-07-14-16:58:00.000-06:00I----- pdweb.http total-worker	 : 5:27.456
2010-07-14-16:58:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:58:00.000-06:00I----- pdweb.http avg-webseal	 : 1.501
2010-07-14-16:58:00.000-06:00I----- pdweb.http total-webseal	 : 5:27.435
2010-07-14-16:59:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:59:00.000-06:00I----- pdweb.http reqs	 : 265
2010-07-14-16:59:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:59:00.000-06:00I----- pdweb.http avg-worker	 : 1.339
