2010-07-14-16:27:00.000-06:00I----- HPDRA0386I   pdweb.authn statistics report (partial period commencing 2010-07-14-16:27:00.000-06:00I-----)
2010-07-14-16:59:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:59:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-16:59:00.000-06:00I----- pdweb.authn total	 : 0.204
2010-07-14-17:00:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:00:00.000-06:00I----- pdweb.authn pass	 : 139
2010-07-14-17:00:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:00:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:00:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:00:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:00:00.000-06:00I----- pdweb.authn total	 : 0.236
2010-07-14-17:01:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:01:00.000-06:00I----- pdweb.authn pass	 : 158
2010-07-14-17:01:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:01:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:01:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:01:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:01:00.000-06:00I----- pdweb.authn total	 : 0.273
2010-07-14-17:02:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:02:00.000-06:00I----- pdweb.authn pass	 : 180
2010-07-14-17:02:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:02:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:02:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:02:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:02:00.000-06:00I----- pdweb.authn total	 : 0.316
2010-07-14-17:03:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:03:00.000-06:00I----- pdweb.authn pass	 : 200
2010-07-14-17:03:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:03:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:03:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:03:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:03:00.000-06:00I----- pdweb.authn total	 : 0.354
2010-07-14-17:04:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:04:00.000-06:00I----- pdweb.authn pass	 : 221
2010-07-14-17:04:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:04:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:04:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:04:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:04:00.000-06:00I----- pdweb.authn total	 : 0.394
2010-07-14-17:05:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:05:00.000-06:00I----- pdweb.authn pass	 : 241
2010-07-14-17:05:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:05:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:05:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:05:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:05:00.000-06:00I----- pdweb.authn total	 : 0.443
